a.           auch
*a*          Adjektiv
*A*          Adverbialis
Abk.         Abkürzung
*ad*         Adverb
*ad.dem.*    Adverbium demonstrativum
*ad.int.*    Adverbium interrogativum
*ad.rel.*    Adverbium relativum
ag.          altgeorgisch
(an.)        anatomisch, Anatomie
*aor*        Aorist
(arch.)      architektonisch, Architektur
(atsch.)     Dialekt von Atschara, atscharisch
*attr*       attributiv, d.h. adjektivisch gebraucht bzw. dekliniert
b.           bringen
Bed.         Bedeutung
(bot.)       botanisch, Botanik
*cd*         Konditional
(chem.)      chemisch, Chemie
(chew.)      Dialekt von Chewsurethi, chewsurisch
*cj*         Konjunktion
*cj.pr.*     Konjunktiv Präsens
*cj.f.*      Konjunktiv Futur
*cj.pt.*     Konjunktiv Präteriti
*comp*       Komparativ
*D/A*        Dativ/Akkusativ
*dekl*       dekliniert, deklinierbar
(desp.)      despektierlich, verächtlich, geringschätzig
*dim*        Diminutiv
do.          dito, desgleichen
d.O.         direktes Objekt
DOZ          Personalzeichen des Direkten Objekts
(dschaw.)    Dialekt von Dschawachethi, dschawachisch
e.           ein
*E*          Ergativ
ea.          einander
e-e          eine
ehm.         ehemals, ehemalig
e-m          einem
e-n          einen
*enkl*       enklitisch
e-r          einer
e-s          eines
et.          etwas
(euph.)      euphemistisch, beschönigend
*f*          Femininum
(fam.)       familiär
*fig*        figürlich, im übertragenen Sinn
*f/pl*       Femininum Pluralis
Fn.          Familienname
fr.          französisch
FR           Futurreihe
*fut*        Futur
g.           georgisch
*G*          Genitiv
gebr.        gebraucht
(geol.)      geologisch, Geologie
Ggs.         Gegensatz
(gr.)        grammatisch, Grammatik
*3.Gr.*      dekliniert wie Substantiv der 3. Gruppe, d.h. mit festem Vokal
(gud.)       Dialekt von Gudamaqari, gudamaqrisch
(gur.)       Dialekt von Guria, gurisch
(hist.)      historisch
*HV*         Höflichkeitsverb
*I*          Instrumentalis
(imer.)      Dialekt von Imerethi, imerethisch
*imp*        Imperativ
*impf*       Imperfekt
*(impf.)*    imperfektiv
imS          im Sinne von
*inf*        Infinitiv
(ing.)       Dialekt von Ingilo, ingiloisch
*int*        Interjektion
intr.        intransitiv
i.O.         indirektes Objekt
IOZ          Personalzeichen des Indirekten Objekts
(iro.)       ironisch
